Pair,Hellinger
graph_1k_10k---graph_1k_8k,0.020933044374143
rnd_n8000_p0_00075_09---graph_1k_8k,0.1352882996769976
graph_10k_300k---graph_1k_8k,0.0871544475352068
sf-n4000-g2_2-kmin2-9---graph_1k_8k,0.3359993672550572
example_5000_0p01382_18---graph_1k_8k,0.6556020208122169
example_8000_0p01557_4---graph_1k_8k,0.6001745652009373
graph_1k_30k---graph_1k_8k,0.1347382998488423
example_8000_0p01557_5---graph_1k_8k,0.5981784179862398
ba_1k_30k---graph_1k_8k,0.3251068301861321
graph_10k_60k---graph_1k_8k,0.0889798806573546
example_5000_0p01382_19---graph_1k_8k,0.6647313001521397
geo1k_6k---graph_1k_8k,0.4984030873037948
sf-n4000-g2_3-kmin4-5---graph_1k_8k,0.3165479603596411
example_8000_0p01557_15---graph_1k_8k,0.595465221246382
graph_10k_700k---graph_1k_8k,0.0986196247791226
graph_1k_40k---graph_1k_8k,0.1740735087711731
rnd_n4000_p0_0015_17---graph_1k_8k,0.126074172522937
p_10---graph_1k_8k,0.2079849991460386
p_04---graph_1k_8k,0.0894268277066848
rnd_n4000_p0_0015_03---graph_1k_8k,0.1266432821910608
p_05---graph_1k_8k,0.1119917422883264
rnd_n4000_p0_0015_02---graph_1k_8k,0.1287514788197265
rnd_n4000_p0_0015_16---graph_1k_8k,0.1292966615393015
ba_1k_40k---graph_1k_8k,0.3461158190875217
example_8000_0p01557_14---graph_1k_8k,0.5975067730862714
sf-n4000-g2_3-kmin4-4---graph_1k_8k,0.3191138680894003
example_8000_0p01557_16---graph_1k_8k,0.6006859392420938
sf-n4000-g2_3-kmin4-6---graph_1k_8k,0.315974062163433
p_07---graph_1k_8k,0.1554354102580592
rnd_n4000_p0_0015_14---graph_1k_8k,0.1295753875487131
rnd_n4000_p0_0015_15---graph_1k_8k,0.1275135047014627
graph_1k_6k---graph_1k_8k,0.0275526146939319
rnd_n4000_p0_0015_01---graph_1k_8k,0.1280203370571711
p_06---graph_1k_8k,0.1348519915704639
graph_1k_60k---graph_1k_8k,0.2401796655023805
sf-n4000-g2_3-kmin4-7---graph_1k_8k,0.319348842876568
example_8000_0p01557_17---graph_1k_8k,0.6025488426686672
graph_1k_20k---graph_1k_8k,0.0874985645648689
example_8000_0p01557_13---graph_1k_8k,0.6019166536443066
sf-n4000-g2_3-kmin4-3---graph_1k_8k,0.3188889133400369
p_02---graph_1k_8k,0.0197588031170919
rnd_n4000_p0_0015_05---graph_1k_8k,0.1247801798907398
rnd_n4000_p0_0015_11---graph_1k_8k,0.1287554743168915
rnd_n4000_p0_0015_10---graph_1k_8k,0.1255138132923622
p_03---graph_1k_8k,0.0589746611829939
rnd_n4000_p0_0015_04---graph_1k_8k,0.1262441526651397
ba_1k_20k---graph_1k_8k,0.2927679593031601
sf-n4000-g2_3-kmin4-2---graph_1k_8k,0.317544764771477
example_8000_0p01557_12---graph_1k_8k,0.6033343763984792
graph_10k_50k---graph_1k_8k,0.0965714048112599
sf-n4000-g2_3-kmin4-0---graph_1k_8k,0.3171949347054202
example_8000_0p01557_10---graph_1k_8k,0.5990513103402622
graph_1k_150k---graph_1k_8k,0.4761764469363301
graph_10k_500k---graph_1k_8k,0.0933284780268754
sf-n4000-g2_2-kmin3-8---graph_1k_8k,0.3296747840176113
rnd_n4000_p0_0015_12---graph_1k_8k,0.125768717836526
rnd_n4000_p0_0015_06---graph_1k_8k,0.1306827537689264
p_01---graph_1k_8k,0.0459633908756482
rnd_n4000_p0_0015_07---graph_1k_8k,0.1270180743232995
rnd_n4000_p0_0015_13---graph_1k_8k,0.1249216390599802
geo1k_12k---graph_1k_8k,0.5042861647795666
sf-n4000-g2_2-kmin3-9---graph_1k_8k,0.3359781171111112
example_8000_0p01557_11---graph_1k_8k,0.6000104595735617
sf-n4000-g2_3-kmin4-1---graph_1k_8k,0.317218959260136
ba_1k_15k---sf-n4000-g2_2-kmin3-4,0.1901658782781554
sf-n4000-g2_2-kmin3-5---sf-n4000-g2_2-kmin3-4,0.0085726646613261
graph_1k_15k---sf-n4000-g2_2-kmin3-4,0.3053828198116868
geo1k_50k---sf-n4000-g2_2-kmin3-4,0.2922790430434566
twitch6---sf-n4000-g2_2-kmin3-4,0.5735946381718058
twitch4---sf-n4000-g2_2-kmin3-4,0.5669455633115533
